user_id,nickname,user_real_nickname,start_date,sum_reply,sum_son_reply,sum_emotion,recent_n_reply,recent_n_deleted,recent_n_emotion,recent_rate_emotion,recent_rate_self_delete,total_reply,heavy
NXIM,myls****,mylse1028,2006-08-25,"1,462",311,11356,9,0,23,56%,0%,1773,0.0
2Mh8r,chun****,뭉치,2006-04-21,"1,686",118,15530,76,22,93,49%,29%,1804,0.0
81WDL,hoeu****,쿠쿠쿠리,2016-04-10,3,0,525,0,0,0,0%,0%,3,0.0
vHmK,livi****,unseen,2017-08-27,"2,669",75,25747,35,17,104,85%,49%,2744,0.0
2lvoK,inyj****,연짱버디,2006-11-03,"1,756",110,8982,62,0,"1,087",91%,0%,1866,0.0
18thg,enee****,북극성으로의 항해,2006-08-01,712,609,3858,8,1,4,40%,13%,1321,0.0
2kcm2,kxor****,우리,2006-06-08,"5,691",862,39261,98,22,546,77%,22%,6553,0.0
2ICE4,hl1v****,hl1,2013-08-23,169,3,6288,0,0,0,0%,0%,172,0.0
7MwLf,trei****,온 세상을,2015-12-25,"2,327",441,9192,150,0,"1,025",87%,0%,2768,0.0
2KTSG,luck****,raw,2006-04-11,"2,150","1,494",16259,171,97,187,69%,57%,3644,0.0
1G3KH,xeno****,반달곰,2012-08-12,"2,360",549,25167,29,0,71,87%,0%,2909,0.0
2dM5J,wtca****,wtc,2014-10-11,2,3,27,0,0,0,0%,0%,5,0.0
1XZfC,smch****,무사,2006-04-17,"14,059",60,114126,11,0,16,76%,0%,14119,1.0
1pPuB,symh****,sym,2012-07-31,"1,463",73,6853,57,0,135,62%,0%,1536,0.0
1ACjP,uni1****,뜨거운시케,2006-06-14,226,19,724,6,0,21,95%,0%,245,0.0
1W8jb,musa****,musanlim,2015-06-24,"2,462",1,8599,116,0,360,70%,0%,2463,0.0
1Ba8X,bdh4****,bdh,2007-07-02,"3,362",72,23390,14,0,5,63%,0%,3434,0.0
2JWrG,ahn4****,하루,2012-10-19,237,0,2332,6,0,3,75%,0%,237,0.0
1oLly,sm20****,sm20050,2007-07-16,"8,280",540,49386,124,0,461,82%,0%,8820,0.0
1yUoM,hlig****,사차원,2006-04-08,284,17,1607,145,1,526,61%,1%,301,0.0
42Kyi,okhe****,okh,2010-05-08,"8,679","1,163",64545,32,0,46,65%,0%,9842,1.0
XV7X,yand****,으뜸서비,2018-11-12,"1,282",443,75382,33,3,220,91%,9%,1725,0.0
389JD,gqvy****,gqv,2008-07-06,"12,696",655,81879,453,0,"2,362",71%,0%,13351,1.0
9ujhf,poke****,참다운,2018-12-31,"1,817","1,102",10851,38,1,180,90%,3%,2919,0.0
2K6YN,nook****,운청산,2006-06-24,"16,278","1,476",292161,61,0,194,83%,0%,17754,1.0
24RIJ,sony****,son,2019-02-28,"10,492",542,135237,132,1,"1,081",82%,1%,11034,1.0
1WUgw,huds****,바람꽃,2006-06-13,"1,784",32,57024,8,0,87,82%,0%,1816,0.0
bhM8g,luck****,newburgman,2018-10-03,641,"1,075",6047,0,0,0,0%,0%,1716,0.0
2ePGP,post****,postan90,2013-01-18,"1,171",14,5084,2,1,0,0%,50%,1185,0.0
1hASs,yeon****,쭈루,2014-06-23,"2,204",296,9772,110,5,407,89%,5%,2500,0.0
1WxsR,hip5****,hip500,2019-05-22,908,0,4880,33,0,15,63%,0%,908,0.0
273lI,csmt****,영웅푸우,2015-06-07,"5,342",585,65108,47,0,99,88%,0%,5927,0.0
2gUDy,hyoj****,ROKMC,2020-05-02,"2,738",250,6838,121,2,290,63%,2%,2988,0.0
z6Z1,pyhs****,구름,2006-08-29,"2,307",145,14429,7,0,27,84%,0%,2452,0.0
1A89K,leey****,lee,2015-09-12,"2,021",498,7510,8,0,6,75%,0%,2519,0.0
87kKt,iban****,JHS,2019-01-02,64,1,86,0,0,0,0%,0%,65,0.0
2HCWq,assa****,100자어항,2014-08-26,125,51,544,1,0,1,100%,0%,176,0.0
1XAZv,vera****,베라0326,2006-08-20,744,5,16378,4,0,4,57%,0%,749,0.0
MGvm,ljah****,ljah337,2006-05-16,"2,730",194,20771,31,0,282,90%,0%,2924,0.0
1X9M4,ufoj****,ufojin,2006-11-08,"9,834","3,984",64558,210,24,396,65%,11%,13818,1.0
eCFR,ubiq****,Fallminam,2006-12-20,"2,805","4,505",31903,27,0,28,93%,0%,7310,0.0
G7bK,cd32****,cd3268,2006-05-27,680,352,8812,0,0,0,0%,0%,1032,0.0
oLa5,shim****,심온,2008-10-27,803,35,2777,8,0,2,67%,0%,838,0.0
7PlJz,sanu****,베엠베,2020-09-15,523,292,1347,5,0,2,100%,0%,815,0.0
1WUL4,delf****,연필부인,2006-04-11,"3,432","1,403",27681,13,1,16,89%,8%,4835,0.0
sW3q,kona****,삼척부동산뱅크,2017-01-06,"1,868",188,7964,2,0,0,0%,0%,2056,0.0
16gPE,suas****,용현예찬맘,2006-07-05,"1,882",285,4958,22,0,60,95%,0%,2167,0.0
1EnPr,umki****,하심,2019-06-11,581,1,1404,0,0,0,0%,0%,582,0.0
3irtC,newd****,아됫어,2007-09-20,7,8,65,0,0,0,0%,0%,15,0.0
221Qu,teen****,알공이,2006-09-28,"1,160",282,19308,9,0,9,69%,0%,1442,0.0
hd2c,gowi****,running,2007-10-01,"2,416",231,22758,0,0,0,0%,0%,2647,0.0
2VYdf,ypzi****,예쁜 돌,2007-08-05,"5,224","1,152",39053,73,0,277,79%,0%,6376,0.0
HV13,goo6****,자연사랑,2006-10-09,"10,444","3,053",33998,194,0,330,64%,0%,13497,1.0
1ysi,chec****,얼룩이,2020-06-05,"5,073",360,15593,304,52,841,65%,17%,5433,0.0
3bIWy,skag****,남세,2017-12-08,"2,055",355,22804,46,2,294,88%,4%,2410,0.0
2nVLw,mars****,우주에살고,2007-03-22,"2,129",453,14746,27,0,25,60%,0%,2582,0.0
15R3Z,rank****,리싱호우,2017-06-23,"3,757",4,38315,5,0,4,80%,0%,3761,0.0
458F,east****,강동우,2020-09-21,"2,418",844,9245,388,21,734,70%,5%,3262,0.0
1d35H,terr****,Machinoid,2010-06-27,"2,108",712,7847,26,0,24,77%,0%,2820,0.0
hjXm,34lh****,협,2012-12-16,444,2,1377,1,0,0,0%,0%,446,0.0
1DRsV,kdkk****,kdk,2007-02-17,931,270,8159,22,0,60,80%,0%,1201,0.0
4PVta,nana****,SJ,2022-01-14,156,65,573,0,0,0,0%,0%,221,0.0
6Ahwu,dkst****,언제쏜다냥,2014-11-29,"7,164","1,577",68673,85,0,178,76%,0%,8741,0.0
euOgG,tlsd****,tls,2022-02-11,150,21,225,20,0,21,91%,0%,171,0.0
1dSTt,puty****,Katherine,2008-10-23,155,112,1748,4,0,9,56%,0%,267,0.0
67xjy,akc1****,akc,2015-05-05,"3,006",62,16014,46,0,112,81%,0%,3068,0.0
2UDVl,bell****,장이,2007-02-14,143,24,757,2,0,40,91%,0%,167,0.0
5QMNb,eigh****,내로남불,2014-04-16,"4,068","2,291",14668,31,1,61,79%,3%,6359,0.0
1JgHZ,khh3****,105동2701해마거사,2007-07-15,"1,957",8,6490,29,0,37,47%,0%,1965,0.0
4kRWe,ourq****,our,2013-05-11,"1,853",598,6586,5,0,9,82%,0%,2451,0.0
2wuAk,iams****,달코미,2006-06-03,"2,393",80,13962,0,0,0,0%,0%,2473,0.0
2usIX,p590****,hades,2006-05-30,"7,785","5,837",110774,55,0,128,60%,0%,13622,1.0
1iKnW,baej****,blue note,2008-04-02,406,8,3379,1,0,0,0%,0%,414,0.0
N9K9,aqua****,북극곰,2006-08-13,"1,326",758,5650,0,0,0,0%,0%,2084,0.0
1JVQQ,kgy5****,kgy5770,2018-10-28,921,55,3288,57,1,124,72%,2%,976,0.0
qwvT,haba****,완소뽕이,2018-03-30,"1,203",17,5029,48,2,250,75%,4%,1220,0.0
2dnan,mapd****,map,2006-06-28,"2,223","1,368",26857,0,0,0,0%,0%,3591,0.0
4urkC,ywg9****,ywg,2020-03-15,"2,440",1,5156,118,0,160,63%,0%,2441,0.0
1OEl8,dart****,I다스베이더I,2006-04-16,"2,058",411,19468,37,2,89,97%,5%,2469,0.0
28ipV,dwch****,dwchang2001,2006-05-18,"5,845",438,31701,0,0,0,0%,0%,6283,0.0
7ks1l,jiaj****,썸원라이크유,2015-09-18,"2,604","1,262",23605,4,0,3,60%,0%,3866,0.0
2xa8B,emai****,hu hu,2012-12-21,"16,270","1,438",370160,1,0,0,0%,0%,17708,1.0
GwRF,mayf****,김삿갓,2018-09-14,14,2,37,0,0,0,0%,0%,16,0.0
bbgYR,shmo****,sunshine,2018-08-25,"4,194",37,23545,58,0,41,47%,0%,4231,0.0
1z4K6,ybg1****,이별공감,2007-08-30,"2,229",18,31787,0,0,0,0%,0%,2247,0.0
2OCIC,khka****,동백섬,2016-12-16,826,2,4725,4,0,14,82%,0%,828,0.0
9jC0O,ciao****,cia,2017-03-13,"15,137","6,918",73905,131,4,444,90%,3%,22055,1.0
32OG5,dhra****,dhraltjssla,2010-11-24,"12,275","6,835",105401,3,0,7,100%,0%,19110,1.0
osjV,jcpa****,Brian,2006-10-27,704,144,4563,0,0,0,0%,0%,848,0.0
3GxXr,yobi****,Yobiwan,2013-11-22,794,34,35198,10,0,27,75%,0%,828,0.0
3nPXX,mash****,아이리스,2013-08-15,793,325,5227,35,1,82,85%,3%,1118,0.0
4JyaH,stan****,pu,2015-12-26,"14,282",519,78574,187,4,"1,860",80%,2%,14801,1.0
2WuX1,mai6****,수,2014-09-25,"7,549","1,693",22075,521,11,706,80%,2%,9242,0.0
1lffE,aegi****,까미,2007-04-27,772,5,1497,10,1,27,96%,10%,777,0.0
20g0w,tamo****,kkmmii,2012-10-09,"6,848","1,451",132659,94,0,640,71%,0%,8299,0.0
2iRsT,autu****,토평,2013-07-09,496,70,4460,1,0,3,100%,0%,566,0.0
envBy,leew****,lee,2021-12-30,112,5,591,1,0,0,0%,0%,117,0.0
2aEgu,bles****,blessedf1,2014-07-20,334,2,1161,10,0,39,51%,0%,336,0.0
3YXa4,wldu****,지영,2021-10-16,251,186,1478,0,0,0,0%,0%,437,0.0
2OmUf,yhs6****,탁배기한잔,2008-06-09,"25,966","11,092",252098,474,2,"4,945",85%,0%,37058,1.0
xmbI,yhpa****,yhpark3927,2008-05-04,"1,075",517,7310,1,0,11,92%,0%,1592,0.0
escqK,hwan****,카사빠보,2022-01-26,341,27,1311,76,5,209,77%,7%,368,0.0
3dZzU,jins****,주주참여,2012-07-19,"17,137",281,163224,206,0,"1,887",73%,0%,17418,1.0
dKTx5,spri****,spr,2022-01-29,"2,018",407,17064,117,4,370,71%,3%,2425,0.0
2EYue,drum****,Stephen J,2006-07-27,957,228,23026,41,1,325,82%,2%,1185,0.0
1nlkw,long****,씽크홀,2006-08-29,"1,105",86,22295,25,0,63,88%,0%,1191,0.0
7MjcW,lbsh****,lbs,2017-05-14,"2,525",229,17749,43,2,97,60%,5%,2754,0.0
2FsUj,kims****,kim,2017-09-28,517,64,2085,45,0,85,62%,0%,581,0.0
2y0Hm,gree****,isetmom,2015-06-12,550,21,2736,2,0,1,100%,0%,571,0.0
3aLzL,cool****,Justin,2007-05-19,"11,355","4,670",66597,8,0,12,86%,0%,16025,1.0
1x0Zs,pds1****,pds,2011-10-18,678,337,6089,0,0,0,0%,0%,1015,0.0
2kkas,brav****,bravo66,2019-01-03,"1,526",12,12754,7,2,18,72%,29%,1538,0.0
24YJ0,shen****,안녕하세요란말부터,2006-10-23,"21,450","1,831",190281,57,5,201,82%,9%,23281,1.0
4fP06,rudg****,rud,2020-12-21,97,15,839,0,0,0,0%,0%,112,0.0
102uj,rad1****,나,2006-07-03,"4,398",740,75414,0,0,0,0%,0%,5138,0.0
3qfyl,6250****,625,2008-02-07,"2,208",169,5877,155,23,310,69%,15%,2377,0.0
M8zp,pilk****,pilkbomb,2013-10-09,"1,493",629,25845,27,2,755,91%,7%,2122,0.0
43ftR,jsni****,jsn,2020-01-30,"1,288",5,4578,3,0,6,55%,0%,1293,0.0
nF41,bruc****,오픈인베스트,2006-04-07,"8,604","1,532",71976,5,0,8,57%,0%,10136,1.0
qZkL,azaa****,찐만두,2012-09-14,"4,886",862,26779,285,2,997,76%,1%,5748,0.0
1rhJW,park****,par,2013-09-26,566,237,88954,9,7,14,88%,78%,803,0.0
pegV,toyt****,언젠간,2017-06-21,788,254,1731,0,0,0,0%,0%,1042,0.0
48QRk,popi****,CHRISTINA,2012-05-27,"3,981",566,66110,102,1,989,92%,1%,4547,0.0
4IAkf,seem****,가든가든,2014-10-20,"4,205",97,23495,197,7,546,73%,4%,4302,0.0
3Uwbn,hanm****,smileman,2012-10-29,356,8,554,18,1,23,70%,6%,364,0.0
3yQJD,acas****,검은구름,2012-06-07,"5,000",340,27623,13,0,34,68%,0%,5340,0.0
274cO,pjy2****,청량고추,2006-05-29,"1,039",37,4635,29,1,57,54%,3%,1076,0.0
TzD4,skyb****,화타,2018-02-27,"20,844",157,353249,254,0,"4,681",69%,0%,21001,1.0
11aJ1,alle****,곰돌이푸우,2016-11-09,522,41,3431,1,0,1,100%,0%,563,0.0
2g901,rich****,richjackie,2015-02-11,"3,955",364,40686,44,0,143,84%,0%,4319,0.0
1KSwK,hako****,자갈치 뱃사공,2016-01-15,180,16,1263,0,0,0,0%,0%,196,0.0
2MVXY,lkh2****,초심,2008-12-18,728,404,7945,3,0,3,100%,0%,1132,0.0
2MqQ8,hsnc****,홍길동,2006-04-11,"9,126","5,914",62959,43,0,36,65%,0%,15040,1.0
166se,ung6****,신관동,2006-08-28,"1,462",8,11920,9,0,34,94%,0%,1470,0.0
oJeH,chi8****,방이동,2006-04-24,816,32,4012,0,0,0,0%,0%,848,0.0
NNQY,giaj****,용비1패,2015-07-17,"1,566",33,5096,18,0,110,98%,0%,1599,0.0
2W5Ou,lcg5****,허공,2007-01-30,266,7,1222,4,0,5,56%,0%,273,0.0
1kNSH,jupi****,힐링과휴식,2006-08-25,"2,132",4,7683,0,0,0,0%,0%,2136,0.0
c6aRi,cm92****,한국기공,2019-09-05,550,0,5615,0,0,0,0%,0%,550,0.0
2zD4m,arum****,ArumLife,2006-04-08,"4,320",711,40303,10,0,32,71%,0%,5031,0.0
N2Ws,sans****,운명이다,2013-06-12,"9,231",15,79180,45,0,73,89%,0%,9246,0.0
1dvXt,numo****,금강불괴,2006-07-06,913,80,4500,10,0,20,87%,0%,993,0.0
1s2F5,igua****,igu,2006-06-12,"1,563",179,3049,8,0,9,47%,0%,1742,0.0
wsSg,rbat****,노기법,2012-10-09,"2,757",4,22443,8,1,17,71%,13%,2761,0.0
2jftR,camd****,camdengi,2012-01-02,"2,697",234,18736,3,0,6,100%,0%,2931,0.0
Pc6L,jodi****,전파사,2007-12-17,"1,276",0,2975,0,0,0,0%,0%,1276,0.0
1aPNk,isyd****,isy,2008-09-20,"2,248",23,11374,17,0,28,82%,0%,2271,0.0
1hc9h,kth1****,황새,2006-07-08,"2,573",438,26609,5,0,31,70%,0%,3011,0.0
e0ova,dks9****,dks,2021-08-05,"1,253",0,5704,50,0,277,82%,0%,1253,0.0
2v6qR,eykd****,영기,2017-06-06,"1,872",1,17792,2,0,0,0%,0%,1873,0.0
3Jdw7,hcyu****,샬롬,2016-08-06,69,18,289,6,0,1,33%,0%,87,0.0
6Bud,king****,신중현명결단,2012-05-26,"3,301","3,484",49112,109,0,624,90%,0%,6785,0.0
3uTH7,kyck****,kyckoj,2008-09-20,"6,642",751,25132,99,0,195,86%,0%,7393,0.0
CTVc,scle****,scl,2013-01-14,"2,284",32,19434,23,0,33,87%,0%,2316,0.0
3wGGq,sdk2****,sdk,2021-11-18,"2,254",0,10552,213,0,837,70%,0%,2254,0.0
SYhK,ycjo****,ycj,2016-07-11,"1,881",47,24120,60,0,19,44%,0%,1928,0.0
15I5S,sooo****,산토끼,2014-06-23,"1,387",45,7176,74,74,92,46%,100%,1432,0.0
9xt3,just****,르씨엘,2006-04-08,"6,962","1,955",72166,21,0,301,89%,0%,8917,0.0
2tWiZ,omah****,아훔,2013-10-15,"2,909",808,13761,89,0,74,59%,0%,3717,0.0
9Hz2Y,jung****,짱구네,2017-06-13,747,109,1781,1,0,1,100%,0%,856,0.0
LkyI,nowi****,nowiwon,2018-08-08,"2,136",0,5789,27,0,60,64%,0%,2136,0.0
2OVE8,duky****,김봉봉,2006-08-11,45,47,176,2,0,0,0%,0%,92,0.0
40iRl,kygh****,모조리삽질다껌,2014-04-25,579,0,1312,0,0,0,0%,0%,579,0.0
13eQ1,icel****,들북송,2008-05-15,"2,508","2,610",15299,9,0,1,25%,0%,5118,0.0
2nvT4,hong****,hongdalseon,2017-09-20,"13,647","8,690",54939,568,0,"1,413",64%,0%,22337,1.0
1CimT,yang****,때려잡자공산당,2008-08-20,62,19,119,0,0,0,0%,0%,81,0.0
2H9ej,kykk****,바카스,2013-06-19,63,59,211,0,0,0,0%,0%,122,0.0
1H4rN,pan1****,pa00000,2006-04-21,410,87,992,1,0,0,0%,0%,497,0.0
2LzrB,ixth****,치우니,2006-05-31,"2,058",356,15581,10,0,8,40%,0%,2414,0.0
53ioZ,osy6****,박tothe원tothe순,2012-07-20,"2,637","1,572",17293,15,0,30,88%,0%,4209,0.0
dmu2s,kdnr****,kdn,2020-12-16,213,141,3893,1,0,6,100%,0%,354,0.0
16Xz1,beer****,남녀칠세마동석,2006-06-11,263,541,1830,48,0,94,70%,0%,804,0.0
7Zy6C,slqu****,slq,2022-01-25,307,218,1702,28,4,149,71%,14%,525,0.0
33SNg,dlwl****,파초대원수한신,2007-02-13,868,379,72770,6,0,297,100%,0%,1247,0.0
2JTxR,sabr****,사브리나,2006-05-22,"1,107",12,3796,73,1,193,69%,1%,1119,0.0
1Ok41,cafr****,경간부,2006-07-04,103,4,537,0,0,0,0%,0%,107,0.0
b1YIr,sara****,sar,2018-08-14,"2,254",273,18638,35,11,177,79%,31%,2527,0.0
2DzP1,lieb****,가로가로,2018-03-02,756,6,1932,2,0,1,33%,0%,762,0.0
1FVTr,ajhk****,ajhkim,2019-06-09,"5,033",0,43478,138,0,826,50%,0%,5033,0.0
47Ny7,hysl****,헤수스,2010-12-05,"3,760",806,44704,35,0,608,84%,0%,4566,0.0
35rXU,kent****,ken,2010-12-11,"1,365",539,3232,0,0,0,0%,0%,1904,0.0
5GQMR,153k****,153,2017-07-04,368,44,519,10,0,10,56%,0%,412,0.0
69vZC,xodu****,xod,2019-12-19,593,1,810,30,0,47,72%,0%,594,0.0
7L5y3,osy0****,유기견사랑,2016-06-24,"8,486",20,15552,0,0,0,0%,0%,8506,0.0
RuYR,skki****,만사형통,2006-05-04,"21,580",60,710991,28,0,312,93%,0%,21640,1.0
2HshU,rjsw****,조비,2015-09-26,387,29,2896,9,0,4,40%,0%,416,0.0
1yeEz,dalo****,스노이트리,2006-10-30,63,8,497,1,0,6,46%,0%,71,0.0
42jgm,kkwa****,구운몽,2014-11-04,"1,562",365,7115,231,0,676,81%,0%,1927,0.0
3HR06,kws3****,권우성,2014-11-07,360,40,2131,5,0,2,100%,0%,400,0.0
7JjGd,lee2****,lee,2015-12-06,"2,795",641,18030,97,2,340,80%,2%,3436,0.0
493KL,csg1****,csg,2020-03-06,790,39,3429,0,0,0,0%,0%,829,0.0
2263n,kyus****,슈퍼조커,2006-08-03,"3,488","4,806",41294,33,1,75,69%,3%,8294,0.0
jikS,qhr2****,복군,2018-08-29,"2,697","1,022",34236,19,0,"1,464",98%,0%,3719,0.0
2SmQm,sjsk****,sjsk8236,2014-06-28,610,3,3911,2,0,3,60%,0%,613,0.0
bc6k,lge1****,따따따,2016-06-16,"1,021",0,5407,45,1,226,72%,2%,1021,0.0
2Uq5E,kmpa****,블루가드,2007-03-11,"3,966",3,11067,130,0,266,95%,0%,3969,0.0
5wkNz,kimy****,kim,2014-01-30,"2,334",17,9805,1,0,0,0%,0%,2351,0.0
7kW6x,mona****,맑은날,2016-03-12,390,166,10902,8,0,14,82%,0%,556,0.0
66mH5,jdsh****,jds,2014-02-21,"1,570",119,7683,6,0,2,67%,0%,1689,0.0
3GHTJ,fern****,123,2012-06-01,"11,506","4,457",128492,21,0,21,81%,0%,15963,1.0
11EIj,onda****,란혁빠,2006-05-23,837,169,9409,0,0,0,0%,0%,1006,0.0
3wTGU,npng****,npn,2013-12-26,"3,491",568,32896,222,51,958,82%,23%,4059,0.0
1DoM0,ksj7****,ksj7822,2016-06-04,"3,284",18,8265,87,1,181,68%,1%,3302,0.0
Z2FQ,visu****,깨끗한나라,2008-03-13,"6,935","1,207",61136,39,1,67,48%,3%,8142,0.0
2GRua,elli****,기도쟁이,2006-04-20,"8,813","1,916",52808,149,0,403,53%,0%,10729,1.0
7LeuQ,cwcw****,cwpp,2017-05-09,"4,044",317,11266,72,0,225,70%,0%,4361,0.0
13ElS,kidr****,우드,2006-04-24,"2,216",154,13879,12,1,44,62%,8%,2370,0.0
1no4W,mink****,minkme1,2012-06-07,"1,146",62,10810,2,0,0,0%,0%,1208,0.0
16GOv,popo****,인터라켄,2012-04-01,"2,414",70,23577,54,0,738,97%,0%,2484,0.0
15XAf,youn****,young115609,2007-05-10,"4,819","3,148",39094,444,8,"1,336",67%,2%,7967,0.0
1kIgC,makd****,막돌이,2007-07-22,"4,133",535,24446,120,0,"1,573",86%,0%,4668,0.0
2kmmR,jro2****,루나,2014-07-02,"1,380",132,10425,62,8,386,84%,13%,1512,0.0
4Mv0U,prin****,pri,2017-05-13,386,247,1675,36,7,86,73%,19%,633,0.0
oagY,kmb4****,kmb,2008-08-04,"1,472",492,3673,18,0,13,50%,0%,1964,0.0
1jmDU,kkm6****,kkm6397,2015-09-04,"1,054",39,5084,0,0,0,0%,0%,1093,0.0
2XM2F,livi****,Jjj,2008-06-28,"8,365",162,59621,150,7,"1,535",83%,5%,8527,0.0
5HOI9,duky****,duk,2013-07-09,586,33,3286,32,7,71,59%,22%,619,0.0
5QEwO,pand****,pan,2018-02-26,"1,323",204,5703,2,0,0,0%,0%,1527,0.0
1HUqs,hl4h****,바리메,2006-09-07,"1,302",205,2445,7,0,3,100%,0%,1507,0.0
1ZpYk,khs9****,무한불성,2018-11-30,"3,109",11,14039,25,0,89,75%,0%,3120,0.0
2WpiU,tkkz****,tkkz,2013-11-19,"7,818",96,57330,6,0,3,60%,0%,7914,0.0
5wyk2,cook****,SUNHOUSE,2014-08-23,931,30,5575,1,0,0,0%,0%,961,0.0
5HAqJ,ojib****,oji,2016-05-31,899,214,2406,2,0,1,100%,0%,1113,0.0
3KVXA,vero****,vero2000,2020-02-28,"3,702",59,38298,0,0,0,0%,0%,3761,0.0
v9T1,numb****,toothpaste,2016-04-20,"1,249",151,4818,12,0,4,12%,0%,1400,0.0
1Ezgr,mbi5****,mbi,2014-08-09,"1,798","1,217",6263,24,1,41,89%,4%,3015,0.0
24VXC,bore****,bor,2017-01-17,"8,574",31,35864,190,0,"1,054",76%,0%,8605,0.0
8UZ1V,duds****,자연인,2016-11-29,"7,770",939,54185,5,2,4,80%,40%,8709,0.0
3K2ja,cjpp****,공과사나누기일은사,2018-01-14,"1,712",35,5249,0,0,0,0%,0%,1747,0.0
2Btz6,sjsh****,LeeHanChul,2006-04-22,"1,020",301,3869,13,0,24,80%,0%,1321,0.0
Vf4e,swit****,윈드밀,2006-04-07,202,534,5348,1,0,0,0%,0%,736,0.0
pMHz,sabr****,westmoreland,2007-05-16,"1,038",317,45089,3,0,21,84%,0%,1355,0.0
gRWk,free****,fre,2014-08-15,747,115,5725,25,3,41,69%,12%,862,0.0
9eWIe,chok****,모도,2017-11-16,220,68,12259,1,0,1,50%,0%,288,0.0
2WeiQ,lhu8****,lhu8402,2014-07-09,"1,337",618,55516,0,0,0,0%,0%,1955,0.0
1e4N1,sivi****,척척밥사,2006-06-07,"3,014",288,27562,18,0,36,92%,0%,3302,0.0
Kzzv,calm****,Hig,2007-04-11,"4,158",493,35372,87,2,189,70%,2%,4651,0.0
2evZM,hhhh****,정원이아빠,2011-10-11,"1,463",296,6731,0,0,0,0%,0%,1759,0.0
2aeBD,kdse****,워라밸요정,2014-07-08,549,167,1505,16,0,22,71%,0%,716,0.0
Tkp3,xcar****,울산I헌직75,2013-11-12,640,397,2080,3,0,4,50%,0%,1037,0.0
5HXV3,3610****,세무사이명균사무소,2017-08-07,211,7,245,1,0,0,0%,0%,218,0.0
GFaB,clim****,climax,2007-09-03,10,0,83,0,0,0,0%,0%,10,0.0
46keE,skho****,여행지기,2018-12-06,"2,505",86,21555,20,0,48,86%,0%,2591,0.0
wzDY,pcs7****,pcs,2011-12-03,"4,772","1,225",43405,56,2,309,89%,4%,5997,0.0
4jLOe,mobe****,우유투샷,2015-10-04,"2,535",324,35931,51,0,618,89%,0%,2859,0.0
4jN5O,devi****,Mr Jun,2014-04-02,"1,350",872,3892,218,0,544,75%,0%,2222,0.0
2bEp5,jayz****,jayz74,2013-04-29,"7,819","1,183",47269,15,0,14,74%,0%,9002,0.0
3ZRRs,open****,카라반,2022-01-26,"1,034",508,3437,168,0,507,70%,0%,1542,0.0
2EaeI,rlov****,rloversky,2018-01-22,"4,800","2,579",24918,253,0,543,71%,0%,7379,0.0
1FjBl,ubiw****,ubi,2014-01-09,935,287,16802,0,0,0,0%,0%,1222,0.0
k1hv,time****,timeofchaos,2012-09-27,360,25,994,0,0,0,0%,0%,385,0.0
12DHR,2___****,일반개인팬,2007-04-06,"12,537","1,137",78173,47,0,39,64%,0%,13674,1.0
5HL2A,jcki****,상식이중요해,2019-09-11,"1,523",6,9805,37,1,70,71%,3%,1529,0.0
eaaM0,sege****,seg,2021-10-05,"1,661",117,2827,82,0,116,51%,0%,1778,0.0
1bBPV,eejj****,유니,2014-04-23,"3,318",372,15859,11,0,22,88%,0%,3690,0.0
6e8bH,into****,int,2020-08-10,"4,101",862,9932,116,0,130,77%,0%,4963,0.0
6zTqI,seon****,션,2015-01-19,"2,277",588,9272,75,0,35,46%,0%,2865,0.0
2fzd8,pby0****,pby,2006-05-19,734,13,2288,30,1,68,88%,3%,747,0.0
3zHsG,jw99****,흔남,2011-07-18,43,117,120,0,0,0,0%,0%,160,0.0
1PGu6,cs59****,csty,2012-05-03,"2,448",621,18113,114,1,271,62%,1%,3069,0.0
5kkJt,hwsk****,hws,2017-02-23,"7,769",172,26098,16,0,32,78%,0%,7941,0.0
2owbF,pjb7****,철이아빠,2015-06-18,"1,228",60,6154,45,1,80,47%,2%,1288,0.0
4dBpB,donn****,don,2010-09-24,"4,084",502,45901,31,1,338,88%,3%,4586,0.0
1pluq,bass****,비엔나,2008-10-18,82,124,332,1,0,14,88%,0%,206,0.0
5cTRJ,thki****,흐르는 강물처럼,2014-01-04,"7,799",171,49150,172,1,"1,953",78%,1%,7970,0.0
1XGNk,csr0****,초콜렛,2006-04-16,"3,963","7,039",39650,236,0,"1,663",87%,0%,11002,1.0
1TfRN,ljk2****,하늘,2006-05-14,"2,064","1,001",9120,20,4,54,87%,20%,3065,0.0
1WXtS,jaeh****,jae,2013-09-14,"2,216","1,361",3296,19,0,7,78%,0%,3577,0.0
177Kn,pate****,탄노이문,2006-07-10,"2,400",356,19055,19,0,244,87%,0%,2756,0.0
8xfb3,youn****,you,2019-09-04,"2,453",0,10346,27,0,68,78%,0%,2453,0.0
37xnO,topa****,둥이,2013-04-11,"4,053",862,21648,27,2,70,72%,7%,4915,0.0
4GBji,yesm****,mindol,2013-03-23,306,90,7049,5,0,2,100%,0%,396,0.0
2lpB7,kisc****,kis,2020-02-27,951,480,2479,0,0,0,0%,0%,1431,0.0
1H868,jyle****,jyl,2017-04-19,"3,089",51,19591,43,0,187,90%,0%,3140,0.0
3Vruz,89b1****,보리수,2017-04-28,"1,094",28,6225,147,2,359,64%,1%,1122,0.0
