user_id,nickname,user_real_nickname,start_date,sum_reply,sum_son_reply,sum_emotion,recent_n_reply,recent_n_deleted,recent_n_emotion,recent_rate_emotion,recent_rate_self_delete,total_reply,heavy
2gumC,clar****,Clarasa,2006-05-06,"3,950",74,35361,71,0,76,86%,0%,4024,0.0
9xni5,muss****,몬난이,2017-05-11,"3,990",638,27074,87,0,193,88%,0%,4628,0.0
67h1g,leea****,쾌활한현진,2014-03-16,23,0,143,1,0,0,0%,0%,23,0.0
DTMR,q315****,미쉐린3,2013-06-07,"2,555",144,26932,21,1,100,89%,5%,2699,0.0
1VvmX,igna****,THEORY,2007-07-23,366,201,3035,0,0,0,0%,0%,567,0.0
5EZsq,gkwo****,라임,2014-05-21,"4,484","3,466",38879,341,0,"1,034",75%,0%,7950,0.0
2MJ8Q,hany****,하늘소,2007-03-13,"1,342",223,13313,44,0,410,98%,0%,1565,0.0
45IeX,wo99****,다람쥐,2012-08-10,"1,222",39,15096,15,1,17,47%,7%,1261,0.0
3Jftm,jscx****,주식의 신,2009-03-18,"3,522",733,11472,311,1,542,62%,0%,4255,0.0
203zD,invi****,Codex,2014-01-08,"1,162",256,1368,12,0,8,62%,0%,1418,0.0
5gpkJ,baek****,bae,2014-06-23,"3,392",1,13440,83,0,129,80%,0%,3393,0.0
1DFWU,gets****,랄라블라,2015-01-31,"1,128",82,6522,6,0,9,41%,0%,1210,0.0
2boBe,falv****,창공,2006-05-29,"2,183","2,256",9933,55,0,243,86%,0%,4439,0.0
3jkc6,shan****,포엠,2015-01-29,"3,397",618,17297,68,0,129,79%,0%,4015,0.0
18MNK,wong****,범랑이,2006-05-02,"8,220","3,122",62516,100,0,205,59%,0%,11342,1.0
1ADk2,bob0****,브래듀크,2006-04-15,"9,849","5,819",101004,52,5,122,71%,10%,15668,1.0
1MET9,nh14****,야북이,2012-11-28,478,25,3449,4,0,19,90%,0%,503,0.0
2U6hi,gmgs****,웨스트헌터,2012-12-21,"10,673","1,473",79280,405,125,"1,129",77%,31%,12146,1.0
2nJl2,play****,찌요미실랑,2006-04-16,618,72,5322,16,0,12,55%,0%,690,0.0
1X2Fd,ko44****,코스모스,2016-08-09,"1,952",262,6095,51,0,91,81%,0%,2214,0.0
31Lfl,sold****,soldier74,2014-09-11,"2,750",15,5028,26,0,14,56%,0%,2765,0.0
1iG9h,rntk****,나인,2006-12-26,326,56,2161,2,0,1,50%,0%,382,0.0
5jAJ6,kk76****,강백호,2012-12-19,"15,390","1,248",146090,259,0,"4,543",79%,0%,16638,1.0
1vUd8,kain****,산야로,2007-10-28,703,41,1741,15,0,22,88%,0%,744,0.0
a43pq,suji****,선샤인,2017-09-19,613,147,3795,35,0,55,77%,0%,760,0.0
11iuA,gree****,안나푸르나,2013-06-01,"1,607",351,13434,0,0,0,0%,0%,1958,0.0
5yeCS,uijk****,MJ,2016-09-15,74,1,443,6,0,43,83%,0%,75,0.0
1H9eo,rose****,ros,2007-01-20,702,135,2240,29,2,48,54%,7%,837,0.0
LIa0,park****,녹쓴박장,2007-09-17,"4,847","4,548",18157,463,6,924,56%,1%,9395,1.0
6qPpA,shan****,UK,2017-03-08,"5,868",99,10873,183,4,412,70%,2%,5967,0.0
